Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
1,Liverpool,29,27,1,1,66,21,45,82,242,26,1,452,176
2,Man City,28,18,3,7,68,31,37,57,283,51,3,541,189
3,Leicester,29,16,5,8,58,28,30,53,308,31,1,402,153
4,Chelsea,29,14,6,9,51,39,12,48,291,53,0,481,169
5,Man United,29,12,9,8,44,30,14,45,320,56,0,428,166
6,Wolves,29,10,13,6,41,34,7,43,316,45,2,370,115
7,Sheffield United,28,11,10,7,30,25,5,43,303,51,1,287,93
8,Tottenham,29,11,8,10,47,40,7,41,296,63,3,353,130
9,Arsenal,28,9,13,6,40,36,4,40,308,63,3,316,109
10,Burnley,29,11,6,12,34,40,-6,39,323,58,0,302,104
11,Crystal Palace,29,10,9,10,26,32,-6,39,317,47,1,287,94
12,Everton,29,10,7,12,37,46,-9,37,346,53,3,387,135
13,Newcastle,29,9,8,12,25,41,-16,35,276,52,3,296,95
14,Southampton,29,10,4,15,35,52,-17,34,355,42,3,371,131
15,Brighton,29,6,11,12,32,40,-8,29,288,44,2,376,120
16,West Ham,29,7,6,16,35,50,-15,27,300,53,1,301,128
17,Watford,29,6,9,14,27,44,-17,27,353,60,3,330,91
18,Bournemouth,29,7,6,16,29,47,-18,27,269,56,3,296,97
19,Aston Villa,28,7,4,17,34,56,-22,25,327,53,1,346,116
20,Norwich,29,5,6,18,25,52,-27,21,279,52,1,334,115
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
